Rec,Inf,UID,Name,Best Pos,Age,Club,Division,Mins,Tgls/90,Tcon/90,Gls,Goals Outside Box,Shot/90,xG/shot,Shot %,ShT/90,Shots Outside Box/90,Gls/90,xG/90,NP-xG/90,xG-OP,Conv %,Ast,Asts/90,Ps A/90,Pas %,xA/90,OP-KP/90,Ch C/90,Drb/90,Pr passes/90,OP-Crs A/90,OP-Cr %,Crs A/90,Cr C/A,Tck A,Tck R,Pres A/90,Pres C/90,Poss Won/90,Poss Lost/90,K Tck/90,Int/90,Clr/90,Blk/90,Shts Blckd/90,Aer A/90,Hdr %,K Hdrs/90,Sprints/90,Dist/90,Gl Mst,Fls,FA,Yel,Red,Wage,Transfer Value
- - -,,52079878,Chiedozie Ogbene,AM (R),29,Ipswich Town,Sky Bet Championship,"1,242",1.96,1.23,1,0,1.52,0.09,33%,0.51,0.43,0.07,0.14,0.14,-0.97,5%,6,0.43,34.49,85%,0.56,2.46,1.59,4.2,3.77,10.94,13%,10.94,13%,44,82%,16.3,4.78,6.96,18.19,0,2.17,1.01,0.36,0.14,5.72,34%,0,16.16,14.3km,1,16,28,1,0,"£23,000 p/w",£5.8M - £9M
- - -,,89020866,Jed Wallace,AM (R),32,West Brom,Sky Bet Championship,"2,481",1.96,1.27,5,3,1.74,0.11,52%,0.91,1.12,0.18,0.2,0.14,-0.41,10%,11,0.4,33.3,78%,0.41,2.03,1.09,2.32,3.85,7.11,26%,11.93,23%,96,80%,13.97,4.06,7.87,16.58,0.07,1.56,1.12,0.4,0.15,6.64,14%,0.07,14.62,14.2km,0,33,33,3,0,"£25,000 p/w",Not for Sale
- - -,,28109888,Angel Gomes,AM (C),25,Leicester,Sky Bet Championship,"1,484",1.94,1.7,4,1,2.49,0.13,51%,1.27,1.52,0.24,0.31,0.31,-1.18,10%,4,0.24,46.09,86%,0.37,2.12,1.03,1.82,4.25,1.39,23%,7.1,47%,30,80%,10.61,3.46,6.13,11.89,0,1.76,0.36,0.24,0.18,3.58,25%,0,9.89,13.6km,0,10,22,1,0,"£25,000 p/w",£5M - £7.6M
- - -,,24065098,Ante Crnac,AM (R),22,Norwich,Sky Bet Championship,"1,047",1.72,0.69,4,0,2.41,0.12,46%,1.12,0.69,0.34,0.3,0.3,0.52,14%,4,0.34,47.11,88%,0.22,1.55,0.95,3.44,2.75,3.61,7%,3.78,7%,52,75%,12.46,3.78,6.7,16.25,0.09,1.72,0.6,-,0,6.88,73%,0.26,13.5,13.9km,0,17,15,3,0,"£12,500 p/w",£800K - £10.5M
- - -,,85033423,Lucas Digne,D (L),32,Aston Villa,Premier League,"2,248",1.6,1.28,2,1,1.52,0.05,55%,0.84,1.32,0.08,0.08,0.08,-0.07,5%,5,0.2,62.42,86%,0.26,2.12,0.88,1.6,8.85,1.88,25%,7.21,36%,116,76%,11.13,3.36,14.13,13.41,0.32,3.16,0.92,0.88,0.36,3.68,36%,0.28,16.25,14.5km,0,41,11,5,1,"£120,000 p/w",£4.7M - £6M
- - -,Wnt,37066573,Sem Steijn,M (C),24,Feyenoord,Eredivisie,"2,458",1.72,0.81,9,2,1.61,0.19,50%,0.81,0.95,0.33,0.3,0.19,0.7,20%,8,0.29,66.02,90%,0.27,1.43,0.88,1.17,4.03,0.99,21%,4.69,37%,62,82%,11.94,2.82,6.08,10.58,0,1.39,0.29,0.18,0,1.98,20%,0.04,10.14,13.4km,0,11,27,0,0,"£9,000 p/w",£2.7M
- - -,,2000077867,Amankwah Forson,AM (R),23,Norwich,Sky Bet Championship,"2,213",1.63,0.94,6,0,1.75,0.13,53%,0.94,0.53,0.24,0.22,0.22,0.5,14%,3,0.12,43.39,85%,0.33,1.42,0.85,5.21,3.25,5.04,18%,6.26,16%,69,80%,13.91,3.66,6.43,17.37,0,1.91,1.22,0.41,0.08,5.04,30%,0,12.12,13.5km,0,25,50,3,0,"£17,500 p/w",£4.8M - £6.2M
- - -,Loa,93122991,Melker Widell,AM (L),24,Swansea,Sky Bet Championship,"1,651",0.98,2.24,3,1,1.47,0.13,33%,0.49,0.71,0.16,0.19,0.19,-0.43,11%,2,0.11,29.76,80%,0.26,1.31,0.82,2.73,2.34,3.22,20%,6.11,16%,64,84%,14.45,4.31,7.8,11.72,0,1.85,1.31,0.49,0.27,6.98,34%,0,13.57,13.7km,0,41,32,9,0,"£2,000 p/w",£40K - £425K
- - -,,27122563,Mads Roerslev,D (R),26,Southampton,Sky Bet Championship,"2,587",1.43,1.39,1,0,1.11,0.1,56%,0.63,0.66,0.03,0.11,0.11,-2.21,3%,9,0.31,32.35,83%,0.26,1.77,0.8,2.54,4.77,7.93,14%,10.23,14%,79,87%,9.88,3.06,10.37,14.37,0.07,2.99,0.83,0.52,0.31,4.91,62%,0.31,14.96,13.8km,0,11,38,5,0,"£23,500 p/w",£13.5M - £17.5M
- - -,,2000045246,Ruben van Bommel,AM (L),21,PSV Eindhoven,Eredivisie,"1,137",1.98,0.87,6,0,2.69,0.12,50%,1.35,0.71,0.47,0.31,0.31,2.05,18%,5,0.4,44.01,84%,0.26,1.66,0.79,4.12,3.56,2.22,23%,3.09,25%,27,70%,11.56,3.09,7.76,15.67,0.08,1.98,0.16,0.4,0.16,6.57,70%,0.32,10.37,13.3km,0,22,31,5,0,"£4,000 p/w",£5M - £7.6M
