Rec,Inf,UID,Name,Best Pos,Age,Club,Division,Mins,Tgls/90,Tcon/90,Gls,Goals Outside Box,Shot/90,xG/shot,Shot %,ShT/90,Shots Outside Box/90,Gls/90,xG/90,NP-xG/90,xG-OP,Conv %,Ast,Asts/90,Ps A/90,Pas %,xA/90,OP-KP/90,Ch C/90,Drb/90,Pr passes/90,OP-Crs A/90,OP-Cr %,Crs A/90,Cr C/A,Tck A,Tck R,Pres A/90,Pres C/90,Poss Won/90,Poss Lost/90,K Tck/90,Int/90,Clr/90,Blk/90,Shts Blckd/90,Aer A/90,Hdr %,K Hdrs/90,Sprints/90,Dist/90,Gl Mst,Fls,FA,Yel,Red,Wage,Transfer Value
- - -,,28116558,Largie Ramazani,AM (L),25,Valencia,LALIGA EA SPORTS,"1,251",2.81,1.44,6,0,1.37,0.15,58%,0.79,0.72,0.43,0.2,0.2,3.18,32%,9,0.65,30.65,84%,0.38,2.01,1.22,3.74,2.95,4.75,18%,4.75,18%,34,71%,10.43,2.66,6.47,12.81,0,2.01,0.65,0.22,0.07,4.46,8%,0,13.96,13.6km,0,10,32,0,0,"£17,500 p/w",£20M - £32M
- - -,,49052213,Robert Navarro,AM (R),24,Athletic Club,LALIGA EA SPORTS,"1,562",1.61,0.81,2,0,1.67,0.08,48%,0.81,0.81,0.12,0.14,0.14,-0.42,7%,5,0.29,43.04,83%,0.36,2.13,1.04,4.9,4.96,6.68,14%,9.85,12%,43,81%,14.58,3.8,7.26,16.82,0.06,1.73,0.63,0.4,0.23,4.61,24%,0.06,13.6,14.0km,0,12,41,1,0,"£13,500 p/w",£15.5M - £18.5M
- - -,Inj,2000053239,Yaser Asprilla,AM (R),22,Girona,LALIGA EA SPORTS,"1,138",2.06,0.95,7,1,1.27,0.19,69%,0.87,0.4,0.55,0.24,0.24,4.02,44%,6,0.47,37.25,80%,0.29,1.66,1.03,2.29,3.8,3.72,8%,3.95,8%,40,83%,13.21,3.56,6.01,13.29,0,1.19,0.55,0.4,0,5.22,50%,0.16,14.55,13.4km,1,9,16,1,0,"£20,000 p/w",£9.2M - £12M
- - -,,19360961,Gabriel Silva,AM (L),24,Santa Clara,Liga Portugal Betclic,"2,510",1.9,1.51,6,1,2.15,0.15,50%,1.08,1.15,0.22,0.31,0.23,-2.78,10%,4,0.14,34.64,83%,0.39,1.47,1,3.26,3.23,5.09,19%,10.43,23%,53,77%,9.22,2.37,5.38,14.38,0.04,1.43,0.65,0.32,0.18,5.31,26%,0,9.82,12.9km,0,30,42,2,0,"£8,000 p/w",£2.8M - £5.6M
- - -,,67278144,Germán Valera,AM (R),24,Elche,LALIGA EA SPORTS,"1,689",1.44,1.39,6,0,2.4,0.17,51%,1.23,0.59,0.32,0.4,0.4,-1.52,13%,6,0.32,38.95,83%,0.27,1.39,0.96,4.69,2.45,2.4,22%,4.21,24%,54,76%,11.94,3.36,5.65,14.87,0,1.55,0.48,0.16,0.05,3.89,26%,0,9.75,13.3km,0,20,29,3,0,"£6,000 p/w",£180K - £6.6M
- - -,Hol,28112993,Tariq Lamptey,AM (R),25,Fiorentina,Serie A TIM,"1,598",2.31,1.13,2,1,1.13,0.09,45%,0.51,0.84,0.11,0.11,0.11,0.12,10%,14,0.79,45.9,88%,0.38,2.08,0.96,4.51,4.39,6.48,22%,6.48,21%,49,82%,12.56,3.27,9.52,13.52,0,2.7,0.68,0.39,0.11,2.98,15%,0,12.5,13.8km,1,13,26,1,0,"£35,000 p/w",£13.5M - £15M
- - -,,67278254,Iker Losada,AM (C),24,Levante,LALIGA EA SPORTS,"1,060",1.02,0.85,3,0,1.44,0.14,35%,0.51,0.59,0.25,0.2,0.2,0.64,18%,1,0.08,31.92,78%,0.17,1.36,0.93,1.87,2.89,1.44,12%,2.89,17%,36,78%,11.46,2.63,6.28,10.95,0.08,1.78,0.68,0.17,0.17,5.26,19%,0,14.18,14.9km,0,18,17,3,0,"£6,000 p/w",£400K - £8.8M
- - -,,85093001,Thomas Lemar,AM (L),30,Girona,LALIGA EA SPORTS,"2,316",1.2,1.09,6,2,1.75,0.1,51%,0.89,1.32,0.23,0.17,0.17,1.71,13%,8,0.31,37.62,80%,0.32,1.63,0.93,2.88,2.45,4.86,12%,11.97,15%,83,89%,13.99,4.04,6.76,19.66,0.04,1.83,0.66,0.23,0.04,3.73,11%,0,13.76,13.5km,0,22,57,2,1,"£51,000 p/w",£9.8M - £12M
- - -,,28115798,Fisayo Dele-Bashiru,M (C),25,Lazio,Serie A TIM,"1,195",1.05,0.9,1,1,1.66,0.11,23%,0.38,1.05,0.08,0.18,0.18,-1.38,5%,2,0.15,47.9,87%,0.26,1.66,0.9,1.96,3.54,1.66,14%,1.66,13%,34,76%,11.82,2.71,6.33,10.77,0,1.58,0.45,-,0,3.24,35%,0.08,8.81,13.1km,0,10,26,2,0,"£46,000 p/w",£700K - £6.8M
- - -,,67256616,Gaizka Larrazabal,WB (R),28,Casa Pia,Liga Portugal Betclic,"1,733",1.77,1.66,1,0,0.42,0.21,38%,0.16,0.16,0.05,0.09,0.05,-0.69,13%,7,0.36,46.17,86%,0.26,1.4,0.88,2.6,5.56,4.62,16%,4.62,15%,83,81%,12,3.06,7.63,13.76,0.16,2.23,1.3,0.16,0.05,3.38,42%,0,10.28,12.9km,0,27,21,3,0,"£7,500 p/w",£220K - £2.2M
